target,src_fm
"@Test public void testGetForks() throws Exception { Assert.assertEquals(mockRepository.getForks() + ""\n Forks"", repoViewModel.getForks()); }","public String getForks() { String forksString = Integer.toString(repository.getForks()) + ""\n Forks""; return forksString; }"
"@Test public void testGetWatchers() throws Exception { Assert.assertEquals(mockRepository.getWatchers() + ""\n Watchers"", repoViewModel.getWatchers()); }","public String getWatchers() { String watchersString = Integer.toString(repository.getWatchers()) + ""\n Watchers""; return watchersString; }"
"@Test public void testGetRepoDescription() throws Exception { Assert.assertEquals(mockRepository.getDescription(), repoViewModel.getRepoDescription()); }",public String getRepoDescription() { return repository.getDescription(); }
@Test public void onDestroyFalseShouldNotUnsubscribeFromUseCase() { userDetailsViewModel.destroy(false); verifyZeroInteractions(mockLoadUserDetailsUseCase); },public void destroy(Boolean unsubscribe) { fragmentListener = null; if (unsubscribe) { loadUserDetailsUseCase.unsubscribe(); } }
@Test public void onDestroyTrueShouldUnsubscribeFromUseCase() { searchUserViewModel.destroy(true); verify(mockSearchUserUseCase).unsubscribe(); },public void destroy(Boolean unsubsricbe) { fragmentListener = null; if(unsubsricbe) { searchUserUseCase.unsubscribe(); } }
"@Test public void onSearchActionShouldDisplayMessageWhenNoUsernameInput() { searchUserViewModel.onSearchAction(textView, EditorInfo.IME_ACTION_SEARCH, null); verify(fragmentListener).showMessage(""Enter a username""); }","public boolean onSearchAction(TextView view, int actionId, KeyEvent event) { if (actionId == EditorInfo.IME_ACTION_SEARCH) { loadUsers(); return true; } return false; }"
@Test public void onDestroyTrueShouldUnsubscribeFromUseCase() { userDetailsViewModel.destroy(true); verify(mockLoadUserDetailsUseCase).unsubscribe(); },public void destroy(Boolean unsubscribe) { fragmentListener = null; if (unsubscribe) { loadUserDetailsUseCase.unsubscribe(); } }
"@Test public void testSetUser() throws Exception { mockUser.setLogin(""NewName""); userViewModel.setUser(mockUser); Assert.assertEquals(""NewName"", userViewModel.getUsername()); }",public void setUser(User user) { this.user = user; notifyChange(); }
@Test public void getGitHubServiceShouldNotReturnNull() throws Exception { GitHubService gitHubService = useCase.getGitHubService(); assertNotNull(gitHubService); },public GitHubService getGitHubService() { return gitHubService; }
"@Test public void testGetRepoTitle() throws Exception { Assert.assertEquals(mockRepository.getName(), repoViewModel.getRepoTitle()); }",public String getRepoTitle() { return repository.getName(); }
"@Test public void loadRepositoriesShouldLoadUserRepositoriesFromUseCase() { userDetailsViewModel.loadRepositories(MockFactory.TEST_USERNAME); verify(mockLoadUserDetailsUseCase).execute(any(DefaultSubscriber.class), eq(MockFactory.TEST_USERNAME)); }","public void loadRepositories(String username) { showProgressIndicator(true); loadUserDetailsUseCase.execute(new LoadRepositoriesSubscriber(), username); }"
"@Test public void testGetStars() throws Exception { Assert.assertEquals(mockRepository.getStars() + ""\n Stars"", repoViewModel.getStars()); }","public String getStars() { String starsString = Integer.toString(repository.getStars()) + ""\n Stars""; return starsString; }"
"@Test public void testGetImageUrl() throws Exception { Assert.assertEquals(mockUser.getAvatarUrl(), userViewModel.getImageUrl()); }",public String getImageUrl() { return user.getAvatarUrl(); }
"@Test public void testGetUsername() throws Exception { Assert.assertEquals(mockUser.getLogin(), userViewModel.getUsername()); }",public String getUsername() { return user.getLogin(); }
"@Test public void testSetRepository() throws Exception { mockRepository.setName(""NewName""); repoViewModel.setRepository(mockRepository); Assert.assertEquals(""NewName"", repoViewModel.getRepoTitle()); }",public void setRepository(Repository repository) { this.repository = repository; notifyChange(); }
@Test public void onDestroyFalseShouldNotUnsubscribeFromUseCase() { searchUserViewModel.destroy(false); verifyZeroInteractions(mockSearchUserUseCase); },public void destroy(Boolean unsubsricbe) { fragmentListener = null; if(unsubsricbe) { searchUserUseCase.unsubscribe(); } }
"@Test public void onClickSearchShouldDisplayMessageWhenNoUsernameInput() { searchUserViewModel.onClickSearch(view); verify(fragmentListener).showMessage(""Enter a username""); }",public void onClickSearch(View view) { loadUsers(); }
