target,src_fm,rule_label,zero_shot_pred,few_shot_pred
"@Test public void testReceiveDialogCommand() throws IOException { var cmd = protocol.fromChannel(toBuffer(DIALOG_UPDATE, ""MO=S|HF=Hello\\||BU=Buffer\\=|B1=0|B2=4|\u0002"")); assertTrue(cmd instanceof MenuDialogCommand); MenuDialogCommand dlg = (MenuDialogCommand) cmd; assertEquals(DialogMode.SHOW, dlg.getDialogMode()); assertEquals(""Hello|"", dlg.getHeader()); assertEquals(""Buffer="", dlg.getBuffer()); assertEquals(MenuButtonType.NONE, dlg.getButton1()); assertEquals(MenuButtonType.CLOSE, dlg.getButton2()); }","@Override public MenuCommand fromChannel(ByteBuffer buffer) throws IOException { String ty = getMsgTypeFromBuffer(buffer); TagValTextParser parser = new TagValTextParser(buffer); if(DEBUG_ALL_MESSAGES) logger.log(DEBUG, ""Protocol convert in: {0}"", parser); MenuCommandType cmdType = codeToCmdType.get(ty); if(cmdType == null) throw new TcProtocolException(""Protocol received unexpected message: "" + ty); switch (cmdType) { case JOIN: return processJoin(parser); case HEARTBEAT: return processHeartbeat(parser); case BOOTSTRAP: return processBootstrap(parser); case ANALOG_BOOT_ITEM: return processAnalogBootItem(parser); case SUBMENU_BOOT_ITEM: return processSubMenuBootItem(parser); case ENUM_BOOT_ITEM: return processEnumBootItem(parser); case BOOLEAN_BOOT_ITEM: return processBoolBootItem(parser); case LARGE_NUM_BOOT_ITEM: return processLargeNumBootItem(parser); case CHANGE_INT_FIELD: return processItemChange(parser); case TEXT_BOOT_ITEM: return processTextItem(parser); case FLOAT_BOOT_ITEM: return processFloatItem(parser); case ACTION_BOOT_ITEM: return processActionItem(parser); case RUNTIME_LIST_BOOT: return processRuntimeListBoot(parser); case ACKNOWLEDGEMENT: return processAcknowledgement(parser); case PAIRING_REQUEST: return processPairingRequest(parser); case DIALOG_UPDATE: return processDialogUpdate(parser); default: throw new TcProtocolException(""Unknown message type "" + cmdType); } }",NOISE,CLEAN,CLEAN
"@Test(expected = NullPointerException.class) public void readDocumentProjects_NULL_PATH() { documentProjectReader.readDocumentProjects(sparkContext, null); }","@Override public JavaRDD<AffMatchDocumentProject> readDocumentProjects(JavaSparkContext sc, String inputPath) { return avroLoader.loadJavaRDD(sc, inputPath, DocumentToProject.class) .map(srcDocProj -> converter.convert(srcDocProj)); }",NOISE,CLEAN,CLEAN
"@Test public void testSoundex() { assertEquals(BLANK_STR, AlgoBox.soundex(null)); assertEquals(""T230"", AlgoBox.soundex(TEST_STR)); assertEquals(BLANK_STR, AlgoBox.soundex(BLANK_STR)); assertEquals(""T232"", AlgoBox.soundex(""Test test"")); assertEquals(BLANK_STR, AlgoBox.soundex(SPACE_STR)); assertEquals(BLANK_STR, AlgoBox.soundex(QUO_STR)); try { AlgoBox.soundex(JAPANESE1_STR); } catch (Exception e) { assertTrue(e instanceof IllegalArgumentException); } }","public static String soundex(String sInput) { if (sInput == null) { return """"; } return soundex.soundex(sInput); }",CLEAN,CLEAN,CLEAN
"@Test public void testGetRunnerEnvironmentsIfOneServerUnavailable() throws Exception { List<RemoteRunnerServer> servers = new ArrayList<>(2); RemoteRunnerServer server1 = mock(RemoteRunnerServer.class); doReturn(true).when(server1).isAvailable(); servers.add(server1); List<RunnerDescriptor> runners = new ArrayList<>(1); RunnerDescriptor runner1 = dto(RunnerDescriptor.class).withName(""java/web""); runner1.getEnvironments().add(dto(RunnerEnvironment.class).withId(""tomcat7"")); runner1.getEnvironments().add(dto(RunnerEnvironment.class).withId(""jboss7"")); runners.add(runner1); doReturn(runners).when(server1).getRunnerDescriptors(); RemoteRunnerServer server2 = mock(RemoteRunnerServer.class); doReturn(true).when(server2).isAvailable(); doThrow(new RunnerException(""Connection refused"")).when(server2).getRunnerDescriptors(); servers.add(server2); doReturn(servers).when(runQueue).getRegisterRunnerServers(); RunnerEnvironmentTree system = service.getRunnerEnvironments(null, null); assertEquals(system.getDisplayName(), ""system""); assertEquals(system.getLeaves().size(), 0); List<RunnerEnvironmentTree> nodes = system.getNodes(); assertEquals(nodes.size(), 1); RunnerEnvironmentTree java = system.getNode(""java""); assertNotNull(java); assertEquals(java.getDisplayName(), ""java""); nodes = java.getNodes(); assertEquals(nodes.size(), 1); assertEquals(java.getLeaves().size(), 0); RunnerEnvironmentTree web = java.getNode(""web""); assertNotNull(web); assertEquals(web.getNodes().size(), 0); assertEquals(web.getLeaves().size(), 2); RunnerEnvironmentLeaf tomcat7 = web.getEnvironment(""tomcat7""); assertNotNull(tomcat7); RunnerEnvironmentLeaf jboss7 = web.getEnvironment(""jboss7""); assertNotNull(jboss7); RunnerEnvironment tomcat7Environment = tomcat7.getEnvironment(); RunnerEnvironment jboss7Environment = jboss7.getEnvironment(); assertNotNull(tomcat7Environment); assertNotNull(jboss7Environment); assertEquals(tomcat7Environment.getId(), ""system:/java/web/tomcat7""); assertEquals(jboss7Environment.getId(), ""system:/java/web/jboss7""); }","@ApiOperation(value = ""Get available runner environments"", notes = ""Get available runner environments"", response = RunnerEnvironmentTree.class, position = 8) @ApiResponses(value = { @ApiResponse(code = 200, message = ""OK""), @ApiResponse(code = 500, message = ""Internal Server Error"")}) @GenerateLink(rel = Constants.LINK_REL_AVAILABLE_RUNNERS) @GET @Path(""/{ws-id}/available"") @Produces(MediaType.APPLICATION_JSON) public RunnerEnvironmentTree getRunnerEnvironments(@ApiParam(value = ""Workspace ID"", required = true) @PathParam(""ws-id"") String workspace, @ApiParam(value = ""Project name"") @Description(""project name"") @QueryParam(""project"") String project) { final DtoFactory dtoFactory = DtoFactory.getInstance(); final RunnerEnvironmentTree root = dtoFactory.createDto(RunnerEnvironmentTree.class).withDisplayName(""system""); final List<RemoteRunnerServer> registerRunnerServers = runQueue.getRegisterRunnerServers(); for (Iterator<RemoteRunnerServer> itr = registerRunnerServers.iterator(); itr.hasNext(); ) { final RemoteRunnerServer runnerServer = itr.next(); if (!runnerServer.isAvailable()) { LOG.error(""Runner server {} becomes unavailable"", runnerServer.getBaseUrl()); itr.remove(); } } for (RemoteRunnerServer runnerServer : registerRunnerServers) { final String assignedWorkspace; final String assignedProject; try { assignedWorkspace = runnerServer.getAssignedWorkspace(); assignedProject = runnerServer.getAssignedProject(); } catch (RunnerException e) { LOG.error(e.getMessage(), e); continue; } if (((assignedWorkspace != null && assignedWorkspace.equals(workspace)) || assignedWorkspace == null) && ((assignedProject != null && assignedProject.equals(project)) || assignedProject == null)) { final List<RunnerDescriptor> runners; try { runners = runnerServer.getRunnerDescriptors(); } catch (RunnerException e) { LOG.error(e.getMessage(), e); continue; } for (RunnerDescriptor runnerDescriptor : runners) { for (RunnerEnvironment runnerEnvironment : runnerDescriptor.getEnvironments()) { RunnerEnvironmentTree node = root; for (String s : runnerDescriptor.getName().split(""/"")) { RunnerEnvironmentTree child = node.getNode(s); if (child == null) { child = dtoFactory.createDto(RunnerEnvironmentTree.class).withDisplayName(s); node.addNode(child); } node = child; } final String unique = new EnvironmentId(EnvironmentId.Scope.system, runnerDescriptor.getName(), runnerEnvironment.getId()) .toString(); final String envId = runnerEnvironment.getId(); final RunnerEnvironmentLeaf environment = node.getEnvironment(envId); if (environment == null) { node.addLeaf(dtoFactory.createDto(RunnerEnvironmentLeaf.class) .withDisplayName(envId) .withEnvironment(dtoFactory.clone(runnerEnvironment).withId(unique))); } } } } } return root; }",NOISE,NOISE,NOISE
"@Test public void convertToMatchableEntity_MULTIPLE_AUTHORS() { BasicMetadata basicDocMetadata = BasicMetadata.newBuilder() .setAuthors(Lists.newArrayList(""John Doe"", ""Jane Doe"")) .build(); DocumentMetadata documentMetadata = DocumentMetadata.newBuilder() .setId(""doc_someId"") .setBasicMetadata(basicDocMetadata) .setReferences(Lists.newArrayList()) .build(); MatchableEntity actualMatchableEntity = converter.convertToMatchableEntity(""doc_someId"", documentMetadata); MatchableEntity expectedMatchableEntity = MatchableEntity.fromParameters(""doc_someId"", ""John Doe, Jane Doe"", null, null, null, null, null); assertTrue(Arrays.equals(actualMatchableEntity.data().toByteArray(), expectedMatchableEntity.data().toByteArray())); }","public MatchableEntity convertToMatchableEntity(String documentId, DocumentMetadata docMetadata) { BasicMetadata metadata = docMetadata.getBasicMetadata(); MatchableEntity entity = MatchableEntity.fromParameters(documentId, extractAuthors(metadata), extractJournal(metadata), extractTitle(metadata), extractPages(metadata), extractYear(metadata), null); return entity; }",CLEAN,CLEAN,CLEAN
"@Test public void testPmcReaderRecursiveZip() throws Exception { JCas cas = JCasFactory.createJCas(""de.julielab.jcore.types.jcore-document-meta-pubmed-types"", ""de.julielab.jcore.types.jcore-document-structure-pubmed-types""); CollectionReader reader = CollectionReaderFactory.createReader(PMCReader.class, PMCReader.PARAM_INPUT, ""src/test/resources/documents-zip"", PMCReader.PARAM_RECURSIVELY, true, PMCReader.PARAM_SEARCH_ZIP, true); assertTrue(reader.hasNext()); Set<String> foundDocuments = new HashSet<>(); while (reader.hasNext()) { reader.getNext(cas.getCas()); Header header = (Header) CasUtil.selectSingle(cas.getCas(), CasUtil.getAnnotationType(cas.getCas(), Header.class)); assertNotNull(header); foundDocuments.add(header.getDocId()); assertNotNull(header.getPubTypeList()); assertTrue(header.getPubTypeList().size() > 0); assertNotNull(((Journal) header.getPubTypeList(0)).getTitle()); assertNotNull(((Journal) header.getPubTypeList(0)).getIssue()); assertNotNull(((Journal) header.getPubTypeList(0)).getVolume()); assertNotNull(((Journal) header.getPubTypeList(0)).getPages()); assertTrue(((Journal) header.getPubTypeList(0)).getTitle().length() > 0); assertNotNull(header.getAuthors()); assertTrue(header.getAuthors().size() > 0); assertNotNull(header.getAuthors(0)); Collection<Caption> captions = JCasUtil.select(cas, Caption.class); for (Caption c : captions) assertNotNull(c.getCaptionType()); Collection<Title> titles = JCasUtil.select(cas, Title.class); for (Title t : titles) assertNotNull(t.getTitleType()); cas.reset(); } assertThat(foundDocuments).containsExactlyInAnyOrder(""2847692"", ""3201365"", ""4257438"", ""2758189"", ""2970367""); }","@Override public void getNext(JCas cas) throws CollectionException { URI next = null; try { next = pmcFiles.next(); casPopulator.populateCas(next, cas); if (extractIdFromFilename) ((Header)cas.getAnnotationIndex(Header.type).iterator().next()).setDocId(getIdFromFilename(next)); } catch (ElementParsingException e) { log.error(""Exception occurred when trying to parse {}"", next, e); throw new CollectionException(e); } completed++; }",NOISE,NOISE,CLEAN
"@Test public void testReadingXmlOverMockHttp() throws IOException, InterruptedException { var mockHttp = Mockito.mock(IHttpClient.class); when(mockHttp.postRequestForString(LIBRARY_VERSIONING_URL, """", HttpDataType.JSON_DATA)).thenReturn(xmlData); var verDet = new OnlineLibraryVersionDetector(mockHttp, ReleaseType.STABLE); var versions = verDet.acquireVersions(); assertEquals(""1.4.1"", versions.get(""tcMenu/Library"").toString()); assertEquals(""1.4.11"", versions.get(""IoAbstraction/Library"").toString()); assertEquals(""1.2.0"", versions.get(""LiquidCrystalIO/Library"").toString()); assertEquals(""1.4.3"", versions.get(""core-display/Plugin"").toString()); assertEquals(""1.4.4"", versions.get(""core-remote/Plugin"").toString()); }","public Map<String, VersionInfo> acquireVersions() { ReleaseType relType; synchronized (cacheLock) { if (!versionCache.isEmpty() && (System.currentTimeMillis() - lastAccess) < REFRESH_TIMEOUT_MILLIS) { return versionCache; } relType = cachedReleaseType; } try { var libDict = new HashMap<String, VersionInfo>(); var verData = client.postRequestForString(LIBRARY_VERSIONING_URL, """", IHttpClient.HttpDataType.JSON_DATA); var inStream = new ByteArrayInputStream(verData.getBytes()); DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance(); DocumentBuilder dBuilder = factory.newDocumentBuilder(); Document doc = dBuilder.parse(inStream); var root = doc.getDocumentElement(); addVersionsToMap(root.getElementsByTagName(""Libraries""), ""Library"", relType, libDict); addVersionsToMap(root.getElementsByTagName(""Plugins""), ""Plugin"", relType, libDict); synchronized (cacheLock) { lastAccess = System.currentTimeMillis(); versionCache = libDict; } return libDict; } catch (Exception e) { logger.log(System.Logger.Level.ERROR, ""Unable to get versions from main site"", e); } return versionCache; }",NOISE,CLEAN,CLEAN
"@Test public void firstTokenNotApplied() { Acronym acronym = buildAcronym(FIRST_LETTERS_IGNORE_NUMERIC, AcronymSeparator.DASH); assertEquals(""D-O-F"", acronym.transform(""3 Degrees Of Freedom"")); }","public String transform(String str) { TokenizedString tokenizedString = new TokenizedString(str, delimiterPattern); List<String> tokens = tokenizedString.getTokens(); if (tokens.size() == 0) { return StringUtils.EMPTY; } int start = 0; String firstApplied; do { firstApplied = abbrevMode.apply(tokens.get(start)); start++; } while (firstApplied.isEmpty() && start < tokens.size()); StringBuilder sb = new StringBuilder(firstApplied); if (separator == AcronymSeparator.KEEP_SPECIAL_CHARS) { Pattern specialCharPattern = Pattern.compile(separator.getValue()); List<String> separators = tokenizedString.getSeparators(); int nextSeparator = tokenizedString.isStartingWithSeparator() ? 1 : 0; for (int i = 1; i < tokens.size(); i++) { String chars = abbrevMode.apply(tokens.get(i)); if (!chars.isEmpty()) { sb.append(getSpecialChars(separators.get(nextSeparator), specialCharPattern)).append( abbrevMode.apply(tokens.get(i))); } nextSeparator++; } } else { for (int i = start; i < tokens.size(); i++) { String chars = abbrevMode.apply(tokens.get(i)); if (!chars.isEmpty()) { sb.append(separator.getValue()).append(abbrevMode.apply(tokens.get(i))); } } if (sb.length() > 0 && AcronymSeparator.PERIOD == separator) { sb.append(separator.getValue()); } } return sb.toString(); }",CLEAN,CLEAN,CLEAN
"@Test(expected=IllegalArgumentException.class) public void testToSchemaForNotExistingPrimitive() throws Exception { AvroUtils.toSchema(""org.apache.avro.Schema.Type.NON_EXISTING""); }","public static Schema toSchema(String typeName) { Schema schema = null; if(typeName.startsWith(primitiveTypePrefix)){ String shortName = typeName.substring( primitiveTypePrefix.length(), typeName.length()); schema = getPrimitiveTypeSchema(shortName); } else { schema = getAvroClassSchema(typeName); } return schema; }",CLEAN,CLEAN,CLEAN
"@Test public void testSortByFilledFields() { List<IndexedRecord> empty = new ArrayList<IndexedRecord>(); CollapserUtils.sortByFilledDataFields(empty, SampleData.significantFields); assertTrue(empty.isEmpty()); List<IndexedRecord> oneElement = Lists.newArrayList((IndexedRecord)SampleData.metadataRecord13); CollapserUtils.sortByFilledDataFields(oneElement, SampleData.significantFields); assertEquals(Lists.newArrayList(SampleData.metadataRecord13), oneElement); List<IndexedRecord> list = Lists.newArrayList( (IndexedRecord)SampleData.metadataRecord11, SampleData.metadataRecord12, SampleData.metadataRecord13); CollapserUtils.sortByFilledDataFields(list, SampleData.significantFields); assertEquals(Lists.newArrayList(SampleData.metadataRecord12, SampleData.metadataRecord11, SampleData.metadataRecord13), list); CollapserUtils.sortByFilledDataFields(list, null); assertEquals(Lists.newArrayList(SampleData.metadataRecord11, SampleData.metadataRecord12, SampleData.metadataRecord13), list); }","public static <T extends IndexedRecord> void sortByFilledDataFields(List<T> records, final List<String> fields) { Collections.sort(records, new NumberOfFilledDataFieldsComparator(fields)); }",CLEAN,CLEAN,CLEAN
